Service Center,County,Initial Services Sought at First Visit,Attended Group Training?,"Total Counseling Time, hrs",Business Status,Impact: Capital Investments,Impact: Created New Jobs,Impact: Revenue Increase,Impact: Started Business,Company's Total employees,"Company's Gross Revenue, $",NAICS code,Ownership Gender,Owner's Hispanic Origin,Owner's Race
"Eastern, Chesapeake",Caroline,Training,Yes,20.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,150000,23,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Training,Yes,185.0166667,Pre-venture/Nascent,0,0,0,No,0,0,53,Choose not to respond,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,2.75,Pre-venture/Nascent,0,0,0,No,0,0,45,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,15.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,0,0,54,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Outside of Maryland,Counseling,No,16,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,0,0,11,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Kent,Counseling,No,10.75,Started with SBDC,0,0,0,Yes,1,60000,53,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,21.5,Started with SBDC,0,1,0,Yes,1,60000,45,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Outside of Maryland,Counseling,No,5.75,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,0,0,72,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,2.25,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,0,0,31,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,23,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,150000,72,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,150000,33,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.75,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,0,0,72,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,46,Started with SBDC,20000,5,270000,Yes,5,270000,72,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,5.5,Pre-venture/Nascent,0,0,0,No,0,0,71,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,150000,33,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,33,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,4.75,Pre-venture/Nascent,0,0,0,No,0,0,62,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,4,Pre-venture/Nascent,0,0,0,No,0,0,44,Choose not to respond,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Talbot,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,62,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,4,Pre-venture/Nascent,0,0,0,No,0,0,11,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,3.950000003,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,500,44,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Kent,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,61,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,5.25,Pre-venture/Nascent,0,0,0,No,0,0,23,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,5.5,Pre-venture/Nascent,0,0,0,No,0,0,61,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,2.25,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Talbot,Counseling,No,16.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,150000,56,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,9.75,Pre-venture/Nascent,0,0,0,No,0,0,81,Choose not to respond,Choose not to respond,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,10,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,33,Male-Owned,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,62,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Training,Yes,347,In Business (> 1 year),0,0,0,Not applicable: Already in Business,16,350000,33,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,27.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,44,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,31,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Baltimore,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,42,Choose not to respond,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,2.75,Pre-venture/Nascent,0,0,0,No,0,0,56,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,33,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,32,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Training,No,3,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,22,Pre-venture/Nascent,0,0,0,No,0,0,45,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,44,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,18.25,Started with SBDC,0,0,0,Not applicable: Already in Business,4,60000,23,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,4.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,Undefined,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,8,Pre-venture/Nascent,0,0,0,No,0,0,11,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,4,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,91,Pre-venture/Nascent,0,0,0,No,0,0,31,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,10,In Business (> 1 year),0,0,0,Not applicable: Already in Business,4,150000,56,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,11,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,2.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,11,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,9,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,81,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Training,Yes,4.75,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Woman-Owned,Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,81,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,71,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,7,Pre-venture/Nascent,0,0,0,No,0,0,31,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,10,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,56,Choose not to respond,Choose not to respond,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,25.5,Pre-venture/Nascent,0,0,0,No,0,0,31,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,10.75,Pre-venture/Nascent,0,0,0,No,0,0,45,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,33,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,20.5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,32,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Outside of Maryland,Counseling,No,8.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,54,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,4.25,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,4,Pre-venture/Nascent,0,0,0,No,0,0,33,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,5.5,Pre-venture/Nascent,0,0,0,No,0,0,33,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,62,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,54.75,Start-up (in bus. < 1 year),0,2,3000,Not applicable: Already in Business,2,3000,72,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Caroline,Training,Yes,17.75,In Business (> 1 year),58500,0,0,Not applicable: Already in Business,1,150000,31,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,13,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,2,0,56,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,Yes,75.5,Started with SBDC,0,4,59000,Not applicable: Already in Business,4,959000,44,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,34.75,Started with SBDC,77799,1,0,Yes,3,60000,56,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,13,Start-up (in bus. < 1 year),0,2,0,Not applicable: Already in Business,3,341000,31,Male/Female-Owned,Non-Hispanic,Asian
"Eastern, Chesapeake",Talbot,Counseling,No,4.5,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,72,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,4.25,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,48,Choose not to respond,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,7.5,Pre-venture/Nascent,0,0,0,No,0,0,81,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,2.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,44,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,42,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,34.58333325,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,81,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,4,Pre-venture/Nascent,0,0,0,No,0,0,31,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,23.25,Pre-venture/Nascent,0,0,0,No,0,0,72,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,28.5,Pre-venture/Nascent,0,0,0,No,0,0,56,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Training,Yes,5,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,150000,62,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,18,Pre-venture/Nascent,0,0,0,No,0,0,45,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,71,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,Undefined,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Talbot,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,32,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,49,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,5.75,Pre-venture/Nascent,0,0,0,No,0,0,33,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Training,Yes,17.25,Pre-venture/Nascent,0,0,0,No,0,0,53,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,2.75,Pre-venture/Nascent,0,0,0,No,0,0,81,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,3.25,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,5,0,45,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,23,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,98.25,Started with SBDC,30000,15,0,Yes,15,60000,72,Choose not to respond,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Outside of Maryland,Counseling,No,6,Pre-venture/Nascent,0,0,0,No,0,0,72,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Anne Arundel,Counseling,No,13.75,Started with SBDC,695000,2,0,Yes,2,60000,11,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,4.25,Pre-venture/Nascent,0,0,0,No,0,0,72,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,72,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,8.75,Pre-venture/Nascent,0,0,0,No,0,0,33,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,45,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,2.75,Pre-venture/Nascent,0,0,0,No,0,0,72,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,7.25,Pre-venture/Nascent,0,0,0,No,0,0,62,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Kent,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,23,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,Yes,28,Pre-venture/Nascent,0,0,0,No,0,0,45,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,7.25,Pre-venture/Nascent,0,0,0,No,0,0,48,Male/Female-Owned,Choose not to respond,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,31,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,13.33333331,Pre-venture/Nascent,0,0,0,No,0,0,72,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,62,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Kent,Counseling,No,4,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,2,0,51,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Training,Yes,2.25,Pre-venture/Nascent,0,0,0,No,0,0,71,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,45,Male-Owned,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Kent,Counseling,No,10.75,Pre-venture/Nascent,0,0,0,No,0,0,54,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,150000,32,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,2.75,Pre-venture/Nascent,0,0,0,No,0,0,33,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Training,Yes,58,Pre-venture/Nascent,0,0,0,No,0,0,49,Woman-Owned,Choose not to respond,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,14,Pre-venture/Nascent,0,0,0,No,0,0,33,Woman-Owned,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Dorchester,Training,Yes,9,In Business (> 1 year),0,0,0,Not applicable: Already in Business,2,150000,81,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,23,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,4.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,5638000,33,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,9.5,Pre-venture/Nascent,0,0,0,No,0,0,81,Male-Owned,Choose not to respond,Black or African American
"Eastern, Chesapeake",Talbot,Counseling,No,111.25,Started with SBDC,0,0,0,Yes,1,60000,62,Woman-Owned,Choose not to respond,Black or African American
"Eastern, Chesapeake",Kent,Counseling,No,10.25,Pre-venture/Nascent,0,0,0,No,0,0,45,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,7,Pre-venture/Nascent,0,0,0,No,0,0,23,Male/Female-Owned,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Outside of Maryland,Counseling,Yes,2.5,Pre-venture/Nascent,0,0,0,No,0,0,92,Woman-Owned,Choose not to respond,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,31,Woman-Owned,Hispanic,Choose not to respond
"Eastern, Chesapeake",Queen Annes,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,31,Male/Female-Owned,Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Training,Yes,4.75,In Business (> 1 year),0,0,0,Not applicable: Already in Business,6,150000,72,Male/Female-Owned,Choose not to respond,Choose not to respond
"Eastern, Chesapeake",Dorchester,Counseling,Yes,8,Pre-venture/Nascent,0,0,0,No,0,0,62,Woman-Owned,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,62,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,71,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Talbot,Counseling,No,8,In Business (> 1 year),17000,0,0,Not applicable: Already in Business,0,150000,23,Male/Female-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Frederick,Counseling,No,47.5,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,4,0,56,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,7,In Business (> 1 year),0,0,0,Not applicable: Already in Business,0,50000,48,Male-Owned,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Baltimore,Counseling,Yes,10,Pre-venture/Nascent,0,0,0,No,0,0,71,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Kent,Counseling,No,4.5,Started with SBDC,0,5,0,Yes,5,60000,72,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,5.5,Pre-venture/Nascent,0,0,0,No,0,0,54,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,4,Started with SBDC,0,0,0,Not applicable: Already in Business,1,60000,72,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,5.5,Pre-venture/Nascent,0,0,0,No,0,0,81,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Caroline,Counseling,No,18.25,Pre-venture/Nascent,0,0,0,No,0,0,72,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Prince Georges,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,54,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,4.75,Pre-venture/Nascent,0,0,0,No,0,0,31,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,2,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,72,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,4.25,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,72,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,5.75,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,31,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,8,Pre-venture/Nascent,0,0,0,No,0,0,72,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,25.5,Started with SBDC,0,0,0,Yes,1,60000,72,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.75,Start-up (in bus. < 1 year),0,0,0,Not applicable: Already in Business,1,0,45,Woman-Owned,Non-Hispanic,Native American
"Eastern, Chesapeake",Queen Annes,Counseling,No,8.5,Started with SBDC,55000,1,100,Yes,1,100,54,Woman-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,1.75,Pre-venture/Nascent,0,0,0,No,0,0,45,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,11,Started with SBDC,15000,0,0,Yes,9,60000,72,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,72,Male-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Baltimore,Counseling,Yes,6.75,In Business (> 1 year),0,42,500,Not applicable: Already in Business,44,500,62,Woman-Owned,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Dorchester,Counseling,No,6,Pre-venture/Nascent,0,0,0,No,0,0,11,Male-Owned,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,71.75,Pre-venture/Nascent,0,0,0,No,0,0,44,Choose not to respond,Non-Hispanic,Choose not to respond
"Eastern, Chesapeake",Queen Annes,Counseling,No,5.75,Pre-venture/Nascent,0,0,0,No,0,0,81,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Dorchester,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Talbot,Counseling,No,16.25,Started with SBDC,125000,3,250000,Yes,3,250000,54,Woman-Owned,Choose not to respond,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,2,Pre-venture/Nascent,0,0,0,No,0,0,48,Choose not to respond,Non-Hispanic,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,3.5,Pre-venture/Nascent,0,0,0,No,0,0,81,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3,Pre-venture/Nascent,0,0,0,No,0,0,54,Choose not to respond,Choose not to respond,Black or African American
"Eastern, Chesapeake",Talbot,Counseling,No,5,Pre-venture/Nascent,0,0,0,No,0,0,23,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Outside of Maryland,Counseling,No,1.25,In Business (> 1 year),0,0,0,Not applicable: Already in Business,10,100000,51,Male-Owned,Choose not to respond,Choose not to respond
"Eastern, Chesapeake",Dorchester,Counseling,No,2.5,Pre-venture/Nascent,0,0,0,No,0,0,81,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,3.75,Pre-venture/Nascent,0,0,0,No,0,0,72,Choose not to respond,Hispanic,Black or African American
"Eastern, Chesapeake",Queen Annes,Counseling,No,10.5,Pre-venture/Nascent,0,0,0,No,0,0,62,Choose not to respond,Choose not to respond,Black or African American
"Eastern, Chesapeake",Caroline,Counseling,No,12,Pre-venture/Nascent,0,0,0,No,0,0,62,Choose not to respond,Choose not to respond,Black or African American
"Eastern, Chesapeake",Kent,Counseling,No,4,Pre-venture/Nascent,0,0,0,No,0,0,81,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Talbot,Counseling,No,3.25,Pre-venture/Nascent,0,0,0,No,0,0,81,Choose not to respond,Non-Hispanic,White/Caucasian
"Eastern, Chesapeake",Queen Annes,Counseling,No,3,In Business (> 1 year),0,0,0,Not applicable: Already in Business,1,100000,81,Male-Owned,Non-Hispanic,White/Caucasian
